Course_ID,Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5),percentage
2991,Course_2991,Finance,52,4777,5.702.974.868.468.900,Udemy,9.078.217.540.529.200,3.999.412.324.117.450,"0,00%"
2992,Course_2992,Business,13,854,6.103.685.453.587.090,edX,1.312.058.445.252.140,4.784.222.861.475.980,"0,00%"
2993,Course_2993,Marketing,11,2285,8.533.634.295.886.220,edX,1.732.262.243.135.860,34.426.625.638.582.200,"0,00%"
2994,Course_2994,Technology,65,2516,665.035.137.409.318,Coursera,15.157.630.812.898.400,3.244.471.120.994.110,"0,00%"
2995,Course_2995,Data Science,65,3293,6.118.710.800.021.370,Coursera,1.780.407.748.820.600,4.749.615.658.946.380,"0,00%"
2996,Course_2996,Office Tools,57,1450,7.538.210.382.195.660,Coursera,14.533.730.954.052.900,3.013.163.965.159.580,"0,00%"
2997,Course_2997,Data Science,47,4576,8.187.146.883.185.300,Coursera,14.774.915.813.938.900,36.189.345.036.430.600,"0,00%"
2998,Course_2998,Office Tools,68,4010,5.652.606.336.161.850,edX,15.931.767.992.608.200,3.165.185.945.502.320,"0,00%"
2999,Course_2999,Design,20,4729,5.972.866.832.875.200,LinkedIn Learning,9.196.170.543.549.190,4.486.734.822.592.710,"0,00%"
3000,Course_3000,Business,48,3282,56.556.984.056.372.300,Udemy,32.334.965.795.387.500,3.317.560.672.297.780,"0,00%"
3001,Course_3001,Finance,41,2577,7.200.002.672.584.790,edX,1.967.901.468.759.860,37.773.134.076.436.600,"0,00%"
3002,Course_3002,Data Science,26,4979,9.258.061.460.724.560,Udemy,1.973.936.649.978.820,4.322.361.706.651.830,"0,00%"
3003,Course_3003,AI,45,4841,8.382.075.442.396.980,edX,11.665.498.986.700.600,4.632.043.124.417.400,"0,00%"
3004,Course_3004,Design,48,403,50.815.461.483.017.100,edX,17.680.764.518.365.300,32.766.892.200.780.100,"0,00%"
3005,Course_3005,Programming,50,2969,6.605.011.466.978.210,LinkedIn Learning,19.698.605.966.831.000,4.962.036.393.518.650,"0,00%"
3006,Course_3006,Data Science,82,546,9.517.650.565.361.900,LinkedIn Learning,1.422.639.605.956.980,4.058.573.654.312.940,"0,00%"
3007,Course_3007,Design,88,4889,9.502.515.192.464.720,Udemy,7.070.453.548.279.090,4.858.657.892.721.200,"0,00%"
3008,Course_3008,Finance,23,3680,63.796.377.018.258.000,Udemy,5.407.404.302.470.780,300.911.763.158.673,"0,00%"
3009,Course_3009,Data Science,12,4342,5.591.144.486.565.320,Coursera,14.141.190.391.263.300,4.045.704.444.150.910,"0,00%"
3010,Course_3010,Programming,25,1171,51.516.868.170.509.600,Udemy,10.172.009.881.829.400,45.518.233.765.564.900,"0,00%"
3011,Course_3011,Finance,58,4151,6.268.150.563.476.120,Udemy,8.297.023.878.625.170,4.851.648.326.555.280,"0,00%"
3012,Course_3012,Design,10,241,9.748.182.450.372.180,Coursera,33.531.648.866.290.100,4.321.665.042.572.850,"0,00%"
3013,Course_3013,Technology,27,3778,8.898.267.461.811.310,Udemy,27.846.337.926.607.100,32.751.682.442.565.900,"0,00%"
3014,Course_3014,Data Science,77,4306,5.908.080.020.340.710,LinkedIn Learning,875.154.652.952.898,3.338.582.541.824.120,"0,00%"
3015,Course_3015,Office Tools,51,2298,8.817.172.946.929.780,Udemy,24.028.649.060.679.600,491.978.456.121.803,"0,00%"
3016,Course_3016,Technology,83,4279,583.072.328.920.584,edX,8.806.245.479.029.000,4.936.176.710.745.750,"0,00%"
3017,Course_3017,Design,42,2231,6.120.820.189.961.660,edX,11.614.471.448.361.500,3.574.687.044.027.860,"0,00%"
3018,Course_3018,Finance,34,1171,6.615.401.385.600.620,LinkedIn Learning,5.540.490.353.801.610,474.184.198.389.773,"0,00%"
3019,Course_3019,AI,23,2970,924.890.756.376.621,edX,14.305.957.476.618.500,31.182.356.898.681.000,"0,00%"
3020,Course_3020,Data Science,68,919,61.423.492.881.086.400,LinkedIn Learning,11.032.797.018.300.600,37.534.445.871.790.600,"0,00%"
3021,Course_3021,Technology,94,4943,6.964.821.302.632.860,Coursera,5.788.726.663.474.250,3.603.480.520.966.200,"0,00%"
3022,Course_3022,Finance,41,3399,7.444.299.444.839.750,edX,8.803.592.973.922.420,4.040.175.525.927.360,"0,00%"
3023,Course_3023,Programming,12,470,9.468.776.284.094.320,Udemy,12.345.600.746.743.700,35.911.602.210.817.000,"0,00%"
3024,Course_3024,Design,68,3241,9.980.841.347.078.750,edX,45.185.231.431.442.500,39.875.102.255.720.900,"0,00%"
3025,Course_3025,AI,42,1621,9.819.422.330.726.790,Coursera,9.570.648.819.634.600,4.892.284.255.933.100,"0,00%"
3026,Course_3026,AI,83,1015,52.391.917.894.503.000,edX,9.100.341.488.318.760,421.093.864.425.962,"0,00%"
3027,Course_3027,Technology,37,2092,6.911.212.558.527.430,Udemy,21.346.677.368.357.500,36.328.954.834.695.800,"0,00%"
3028,Course_3028,Programming,28,3764,9.448.134.904.466.320,Coursera,17.483.726.966.429.300,4.296.546.387.637.270,"0,00%"
3029,Course_3029,Marketing,79,1748,9.351.960.901.382.530,LinkedIn Learning,1.867.900.713.878.420,4.304.020.892.379.380,"0,00%"
3030,Course_3030,Design,58,2873,5.297.438.287.605.220,Udemy,17.307.022.023.311.400,36.623.836.384.788.100,"0,00%"
3031,Course_3031,Technology,14,3882,7.244.054.905.977.390,edX,1.008.827.385.333.140,4.483.525.039.430.760,"0,00%"
3032,Course_3032,Business,46,1309,7.333.496.010.680.350,LinkedIn Learning,11.285.876.755.336.600,4.935.869.536.718.650,"0,00%"
3033,Course_3033,Programming,81,640,907.362.073.906.197,LinkedIn Learning,7.557.807.092.973.870,4.532.243.671.812.020,"0,00%"
3034,Course_3034,Design,80,1110,5.915.716.456.028.070,Udemy,1.162.399.917.707.930,35.636.794.402.414.100,"0,00%"
3035,Course_3035,Business,90,2971,930.463.667.993.061,Udemy,5.633.090.000.356.190,47.176.103.007.927.800,"0,00%"
3036,Course_3036,Marketing,84,2820,8.771.759.473.702.930,Coursera,1.500.635.954.137.380,46.513.659.150.407.300,"0,00%"
3037,Course_3037,AI,24,1201,702.697.046.289.858,Coursera,13.156.841.449.127.300,3.717.791.139.395.980,"0,00%"
3038,Course_3038,Finance,36,1047,7.410.599.711.974.160,Coursera,11.134.133.252.271.900,4.023.695.278.261.510,"0,00%"
3039,Course_3039,Programming,70,457,9.342.855.900.701.070,Udemy,86.032.228.019.278,4.930.968.158.242.440,"0,00%"
3040,Course_3040,Marketing,100,3772,7.019.466.942.048.970,edX,14.977.490.348.569.300,4.224.014.808.494.120,"0,00%"
3041,Course_3041,Office Tools,89,2279,6.970.514.650.815.050,Udemy,1.484.319.061.481.560,3.703.160.738.094.570,"0,00%"
3042,Course_3042,Data Science,35,226,62.972.829.927.340.800,LinkedIn Learning,29.055.042.004.456.500,30.080.741.576.158.700,"0,00%"
3043,Course_3043,AI,82,3961,52.826.521.578.740.700,Udemy,3.758.094.044.995.160,37.388.309.450.202.400,"0,00%"
3044,Course_3044,Data Science,32,4042,53.561.708.411.004.600,Coursera,7.833.373.740.272.450,35.003.430.433.923.200,"0,00%"
3045,Course_3045,Office Tools,81,3396,8.562.973.426.739.100,Coursera,8.187.079.912.903.640,3.596.622.665.383.570,"0,00%"
3046,Course_3046,Data Science,100,428,9.800.016.392.445.560,Udemy,1.711.863.163.114.940,4.616.770.624.785.500,"0,00%"
3047,Course_3047,Business,60,896,5.203.410.006.941.060,Coursera,9.192.982.282.467.830,33.268.922.772.139.400,"0,00%"
3048,Course_3048,Data Science,64,4736,7.143.233.173.717.100,Udemy,18.637.859.574.715.800,48.412.032.936.988,"0,00%"
3049,Course_3049,Design,21,3777,8.391.553.432.083.890,edX,14.251.593.268.819.800,49.843.660.192.152.800,"0,00%"
3050,Course_3050,Finance,90,4029,8.899.927.003.719.320,LinkedIn Learning,9.969.699.900.396.110,3.078.838.338.733.910,"0,00%"
3051,Course_3051,Data Science,73,2983,7.052.673.710.587.340,Udemy,18.063.061.489.284.400,32.887.441.693.671.400,"0,00%"
3052,Course_3052,AI,34,1391,5.523.763.234.175.150,Coursera,11.478.636.701.017.900,35.192.808.770.914.600,"0,00%"
3053,Course_3053,Marketing,49,2153,63.999.689.995.807.900,Coursera,16.683.598.117.747.600,437.713.682.492.507,"0,00%"
3054,Course_3054,Programming,71,4165,6.980.204.930.910.770,edX,9.938.811.670.321.560,36.576.712.586.039.200,"0,00%"
3055,Course_3055,Finance,59,2633,6.145.504.432.318.000,Coursera,1.229.341.572.016.170,4.399.754.529.914.840,"0,00%"
3056,Course_3056,Marketing,75,4593,8.347.092.230.724.610,edX,14.149.082.441.844.000,4.561.273.974.438.090,"0,00%"
3057,Course_3057,Design,24,1934,9.006.265.518.180.930,edX,2.964.277.771.143.280,4.576.484.631.188.760,"0,00%"
3058,Course_3058,Finance,47,4450,56.371.670.555.518.800,Udemy,13.051.087.400.031.400,466.850.055.874.247,"0,00%"
3059,Course_3059,AI,98,4623,9.909.377.733.644.900,Udemy,13.321.953.958.355.100,4.140.704.070.055.890,"0,00%"
3060,Course_3060,Technology,55,4643,55.676.467.363.833.400,edX,46.049.229.266.612.900,4.419.695.858.394.570,"0,00%"
3061,Course_3061,AI,98,1546,7.534.614.613.833.210,Udemy,17.619.157.296.065.600,3.414.385.648.722.530,"0,00%"
3062,Course_3062,Design,40,2525,7.107.877.503.171.910,Coursera,15.235.927.039.210.700,37.985.749.020.234.900,"0,00%"
3063,Course_3063,Marketing,62,2563,61.322.011.013.053.300,LinkedIn Learning,1.177.727.475.418.000,4.298.960.343.803.150,"0,00%"
3064,Course_3064,Programming,18,4410,698.759.468.083.297,LinkedIn Learning,16.232.610.585.863.200,3.690.449.036.052.290,"0,00%"
3065,Course_3065,Finance,36,2136,6.246.872.026.551.890,edX,487.212.090.983.215,35.497.853.368.105.100,"0,00%"
3066,Course_3066,Business,55,1095,59.587.586.282.944.000,LinkedIn Learning,11.577.727.476.807.600,4.431.607.009.421.320,"0,00%"
3067,Course_3067,Marketing,60,1009,9.178.088.241.293.580,Udemy,31.171.032.494.741.300,367.227.080.296.243,"0,00%"
3068,Course_3068,Data Science,51,2260,57.105.367.581.768.400,edX,18.239.144.497.970.300,3.237.526.838.058.270,"0,00%"
3069,Course_3069,Technology,12,1002,838.322.576.956.181,LinkedIn Learning,6.195.958.517.274.960,3.184.698.782.351.410,"0,00%"
3070,Course_3070,Design,55,1589,9.332.250.389.052.760,edX,4.999.310.258.386.040,4.947.757.013.874.480,"0,00%"
3071,Course_3071,Business,39,1438,9.074.901.433.831.840,LinkedIn Learning,12.087.999.782.360.600,30.614.489.728.399.300,"0,00%"
3072,Course_3072,Finance,78,3117,7.161.362.630.737.900,Udemy,10.112.318.948.764.200,34.548.409.939.510.200,"0,00%"
3073,Course_3073,AI,17,1685,5.677.075.854.937.630,Udemy,8.703.706.395.962.000,3.090.597.999.979.690,"0,00%"
3074,Course_3074,Technology,42,2929,5.287.592.020.895.750,LinkedIn Learning,15.250.657.415.369.500,49.316.124.808.933.200,"0,00%"
3075,Course_3075,Office Tools,89,2357,5.729.595.677.306.670,LinkedIn Learning,4.395.243.085.212.940,490.013.348.006.628,"0,00%"
3076,Course_3076,Data Science,89,3400,9.860.877.307.128.830,Coursera,1.706.956.274.798.330,4.301.539.406.993.360,"0,00%"
3077,Course_3077,AI,29,737,7.050.158.043.754.570,Coursera,16.285.564.755.422.400,3.504.154.115.461.050,"0,00%"
3078,Course_3078,Programming,64,4439,6.338.100.789.045.050,Coursera,6.720.229.009.296.480,3.090.736.174.725.730,"0,00%"
3079,Course_3079,Office Tools,76,1979,8.596.439.158.072.930,Udemy,9.677.708.981.213.870,3.912.594.527.183.610,"0,00%"
3080,Course_3080,Finance,99,900,647.771.760.227.832,edX,19.030.927.444.310.300,4.493.467.321.212.390,"0,00%"
3081,Course_3081,Office Tools,95,503,9.457.989.882.434.910,LinkedIn Learning,15.608.081.536.457.300,3.712.141.691.749.600,"0,00%"
3082,Course_3082,Data Science,25,3287,8.297.784.637.230.700,LinkedIn Learning,14.739.766.356.898.100,3.824.066.162.608.900,"0,00%"
3083,Course_3083,Office Tools,83,4814,9.990.584.629.777.800,edX,7.586.818.359.120.950,38.945.243.959.200.900,"0,00%"
3084,Course_3084,Finance,58,4450,9.296.825.905.082.000,Udemy,8.994.818.337.140.310,3.655.378.422.573.810,"0,00%"
3085,Course_3085,Business,47,4074,7.402.624.057.499.430,edX,1.925.589.133.032.720,376.644.946.803.313,"0,00%"
3086,Course_3086,Technology,42,4139,7.483.708.399.805.270,Udemy,1.450.087.849.407.120,3.323.216.860.923.150,"0,00%"
3087,Course_3087,Design,65,2228,8.360.733.886.198.800,Udemy,1.275.334.159.391.560,35.948.291.372.723.700,"0,00%"
3088,Course_3088,AI,100,3447,792.985.030.351.507,Udemy,5.176.967.200.325.120,314.510.620.907.794,"0,00%"
3089,Course_3089,Design,46,4894,6.882.553.102.563.530,Udemy,16.740.876.091.538.100,31.493.911.326.342.300,"0,00%"
3090,Course_3090,Technology,88,3695,7.286.878.843.554.800,edX,1.080.634.009.317.000,3.326.568.222.106.510,"0,00%"
3091,Course_3091,Design,72,3653,8.185.299.328.390.610,Coursera,22.959.387.276.815.400,3.152.181.576.586.540,"0,00%"
3092,Course_3092,Design,89,921,6.819.158.485.824.510,Udemy,196.371.075.891.335,38.812.413.060.560.000,"0,00%"
3093,Course_3093,Business,66,3578,9.553.834.211.250.170,edX,19.939.106.177.671.200,3.361.292.529.798.070,"0,00%"
3094,Course_3094,Technology,56,208,9.345.082.669.970.860,LinkedIn Learning,17.047.347.948.822.700,3.409.602.159.340.960,"0,00%"
3095,Course_3095,Office Tools,12,2109,7.546.715.038.273.430,edX,7.916.577.622.149.200,3.477.206.748.150.760,"0,00%"
3096,Course_3096,Finance,66,1081,7.509.647.688.037.160,LinkedIn Learning,10.428.594.473.496.800,3.866.688.004.220.400,"0,00%"
3097,Course_3097,AI,60,578,7.610.012.606.795.790,Coursera,1.823.103.790.531.830,3.474.083.514.981.450,"0,00%"
3098,Course_3098,Design,14,4921,5.194.676.290.704.880,LinkedIn Learning,9.209.358.772.443.180,3.826.514.884.806.710,"0,00%"
3099,Course_3099,Finance,32,1256,6.707.725.367.071.880,Udemy,19.840.862.352.718.400,3.959.410.915.092.470,"0,00%"
3100,Course_3100,Data Science,69,2397,8.120.726.033.264.130,edX,10.459.488.000.020.500,38.647.978.186.597.800,"0,00%"
3101,Course_3101,Marketing,53,3675,50.074.101.175.555.500,edX,8.020.273.591.946.830,3.310.455.735.010.450,"0,00%"
3102,Course_3102,Finance,38,1870,852.046.021.677.094,Coursera,12.111.651.123.741.900,4.935.898.214.467.650,"0,00%"
3103,Course_3103,Office Tools,59,3661,6.075.098.974.469.660,Coursera,14.634.889.831.816.000,31.575.330.839.179.100,"0,00%"
3104,Course_3104,Finance,53,4852,711.053.064.508.364,LinkedIn Learning,9.410.013.276.201.950,4.008.398.762.600.410,"0,00%"
3105,Course_3105,Programming,66,201,9.562.490.151.220.490,Coursera,11.314.210.218.446.400,31.055.774.913.833.600,"0,00%"
3106,Course_3106,Office Tools,58,2056,9.244.374.397.507.380,Coursera,93.931.934.066.121,3.722.162.786.495.410,"0,00%"
3107,Course_3107,AI,54,4018,6.501.078.586.267.650,LinkedIn Learning,4.547.487.024.380.880,4.387.462.923.220.290,"0,00%"
3108,Course_3108,AI,35,3259,9.807.109.812.604.380,Udemy,19.704.184.677.733.000,4.076.366.814.756.300,"0,00%"
3109,Course_3109,Marketing,81,969,7.746.364.906.861.170,Udemy,1.886.107.773.094.300,4.072.675.981.562.660,"0,00%"
3110,Course_3110,Data Science,54,655,5.780.926.672.577.610,Coursera,16.859.182.532.936.200,46.249.565.030.591.300,"0,00%"
3111,Course_3111,Finance,97,4999,6.883.257.615.124.660,LinkedIn Learning,8.556.375.137.986.950,4.108.288.483.741.430,"0,00%"
3112,Course_3112,AI,36,2362,8.957.427.433.667.900,edX,758.130.669.739.847,488.356.051.450.594,"0,00%"
3113,Course_3113,Marketing,94,3929,6.048.619.760.365.590,Udemy,36.056.334.000.633.600,435.226.758.817.015,"0,00%"
3114,Course_3114,Marketing,88,431,7.196.436.920.171.460,Coursera,15.035.727.578.419.400,4.377.949.736.969.350,"0,00%"
3115,Course_3115,Data Science,23,2884,9.954.560.937.810.070,LinkedIn Learning,52.626.793.664.226.600,48.156.378.153.645.500,"0,00%"
3116,Course_3116,Finance,84,1982,9.295.225.037.185.440,Udemy,11.585.432.469.818.100,3.859.864.366.217.620,"0,00%"
3117,Course_3117,Office Tools,75,1183,959.726.606.512.523,LinkedIn Learning,144.574.440.908.922,4.291.586.153.294.150,"0,00%"
3118,Course_3118,Design,99,4714,6.406.777.321.174.140,LinkedIn Learning,1.906.331.647.274.650,3.335.797.762.280.200,"0,00%"
3119,Course_3119,Data Science,90,3956,5.585.368.980.882.280,Coursera,17.124.078.967.616.200,4.461.346.754.766.430,"0,00%"
3120,Course_3120,Marketing,30,1774,9.202.628.123.008.190,Udemy,12.537.229.979.451.800,45.715.776.132.369.100,"0,00%"
3121,Course_3121,Technology,36,568,5.382.886.108.487.460,edX,1.992.161.400.891.330,36.304.879.232.096.700,"0,00%"
3122,Course_3122,Programming,21,500,7.830.066.603.108.970,Coursera,6.090.536.258.953.320,3.855.780.773.806.550,"0,00%"
3123,Course_3123,Marketing,62,2988,8.162.256.936.776.080,Udemy,19.905.846.200.982.900,4.464.828.327.245.170,"0,00%"
3124,Course_3124,Technology,82,4174,7.835.807.397.934.470,Udemy,667.345.247.393.477,4.308.236.975.786.390,"0,00%"
3125,Course_3125,AI,94,930,8.349.360.749.360.720,Coursera,5.824.646.469.006.770,4.264.484.010.054.580,"0,00%"
3126,Course_3126,Design,83,3881,5.882.475.802.625.000,Coursera,21.724.243.211.489.600,37.326.142.939.143.000,"0,00%"
3127,Course_3127,Design,18,3251,9.584.760.184.757.010,LinkedIn Learning,59.933.424.791.620.400,32.236.627.891.265.000,"0,00%"
3128,Course_3128,Finance,57,4271,8.263.885.216.198.230,edX,9.309.624.925.415.110,37.013.046.039.082.600,"0,00%"
3129,Course_3129,Data Science,88,1960,8.078.546.486.566.060,Coursera,9.611.191.606.900.860,3.849.956.928.172.440,"0,00%"
3130,Course_3130,Programming,80,743,9.876.531.134.761.720,Udemy,15.098.410.598.839.200,3.198.830.017.567.370,"0,00%"
3131,Course_3131,Business,28,1346,7.860.653.264.999.870,Coursera,1.732.236.081.753.260,4.678.527.634.180.770,"0,00%"
3132,Course_3132,Design,48,1765,9.126.427.203.218.560,Udemy,27.603.080.928.201.400,4.204.587.619.043.540,"0,00%"
3133,Course_3133,Finance,95,3816,6.083.262.311.296.740,edX,6.098.247.100.637.300,4.473.003.164.306.840,"0,00%"
3134,Course_3134,Data Science,77,3554,726.758.252.469.156,Coursera,3.224.349.276.290.730,44.668.949.893.025.000,"0,00%"
3135,Course_3135,AI,62,2554,889.379.479.994.711,Udemy,16.543.805.201.523.000,4.887.577.232.403.390,"0,00%"
3136,Course_3136,Office Tools,61,3102,5.412.668.942.986.280,Udemy,14.580.278.035.255.100,35.520.920.094.123.700,"0,00%"
3137,Course_3137,Office Tools,78,3911,6.800.286.140.015.670,LinkedIn Learning,19.676.436.865.376.900,30.531.850.449.624.400,"0,00%"
3138,Course_3138,Finance,45,2916,9.959.457.095.493.790,edX,17.295.854.767.104.300,36.148.427.116.199.500,"0,00%"
3139,Course_3139,Office Tools,11,4786,6.853.265.459.146.150,Coursera,15.090.078.031.291.400,4.964.057.680.291.740,"0,00%"
3140,Course_3140,Business,54,2040,5.972.584.093.893.730,Udemy,14.077.350.100.593.800,30.552.665.835.388.700,"0,00%"
3141,Course_3141,AI,29,2400,7.586.444.508.895.020,edX,29.326.738.033.133.500,4.948.372.966.652.380,"0,00%"
3142,Course_3142,Marketing,18,3001,8.211.648.159.551.860,edX,1.941.025.760.732.170,3.824.072.170.575.650,"0,00%"
3143,Course_3143,Business,77,1459,55.818.129.594.749.700,LinkedIn Learning,9.416.679.230.286.450,3.495.115.934.696.010,"0,00%"
3144,Course_3144,AI,88,3869,61.430.692.755.067.400,Coursera,15.744.201.454.428.600,48.408.073.552.247.600,"0,00%"
3145,Course_3145,Finance,99,1291,7.180.759.051.567.560,Coursera,18.260.540.672.033.000,4.099.149.984.657.490,"0,00%"
3146,Course_3146,Programming,55,4657,7.323.114.897.083.520,Coursera,18.094.523.778.112.700,35.497.896.447.883.500,"0,00%"
3147,Course_3147,AI,27,3505,9.949.243.804.696.670,LinkedIn Learning,10.930.848.952.280.300,4.487.069.411.274.170,"0,00%"
3148,Course_3148,Data Science,24,2444,63.275.447.612.012.100,LinkedIn Learning,24.968.439.607.746.800,4.512.111.276.839.220,"0,00%"
3149,Course_3149,Design,56,376,8.429.426.191.496.130,Udemy,17.590.477.698.800.300,37.364.850.254.977.000,"0,00%"
3150,Course_3150,Finance,94,2255,8.273.005.616.786.990,Udemy,3.490.130.390.665.910,38.481.989.978.722.200,"0,00%"
3151,Course_3151,Finance,99,1795,6.384.486.742.748.840,Udemy,1.480.581.143.950.130,4.070.593.701.180.250,"0,00%"
3152,Course_3152,Finance,57,3167,7.609.283.868.757.490,Coursera,13.690.751.943.661.200,4.420.391.251.734.460,"0,00%"
3153,Course_3153,Finance,12,4457,9.753.872.129.582.040,Coursera,970.016.217.086.067,4.889.885.693.510.890,"0,00%"
3154,Course_3154,Technology,98,4905,650.900.842.232.243,edX,13.907.223.389.764.700,3.407.842.419.115.770,"0,00%"
3155,Course_3155,Marketing,35,1345,564.508.726.577.666,Coursera,26.158.184.530.084.800,4.848.804.717.985.730,"0,00%"
3156,Course_3156,Programming,31,490,8.062.742.306.534.200,Udemy,1.067.426.823.912.830,4.645.603.671.692.980,"0,00%"
3157,Course_3157,Marketing,50,2406,9.827.243.906.326.620,LinkedIn Learning,15.387.249.168.578.100,30.647.082.641.663.400,"0,00%"
3158,Course_3158,Programming,15,3260,8.036.140.982.512.210,edX,11.983.246.995.828.400,38.673.351.939.568.300,"0,00%"
3159,Course_3159,Finance,93,1080,6.959.923.854.891.770,edX,13.918.110.051.583.100,4.045.219.092.524.780,"0,00%"
3160,Course_3160,Programming,88,3362,5.651.028.123.962.080,edX,17.808.949.957.480.200,49.263.568.481.102.300,"0,00%"
3161,Course_3161,Design,81,4718,6.661.340.653.489.060,edX,3.905.180.903.770.190,4.732.628.023.051.740,"0,00%"
3162,Course_3162,Office Tools,98,4721,9.726.885.085.754.800,Coursera,1.686.741.504.947.040,424.233.618.387.813,"0,00%"
3163,Course_3163,Office Tools,76,4456,7.770.405.206.410.460,Udemy,2.598.520.149.941.700,3.582.091.928.556.760,"0,00%"
3164,Course_3164,Programming,18,1630,9.823.976.038.016.860,edX,1.669.335.567.930.590,32.576.267.284.735.000,"0,00%"
3165,Course_3165,Technology,21,4923,7.891.890.017.429.680,Coursera,8.571.983.631.572.160,4.556.026.427.751.720,"0,00%"
3166,Course_3166,AI,83,3741,934.458.534.855.079,Coursera,12.715.987.455.543.700,45.959.534.493.405.300,"0,00%"
3167,Course_3167,AI,16,4998,9.726.494.612.803.690,LinkedIn Learning,10.219.454.890.417.500,30.356.058.975.303.900,"0,00%"
3168,Course_3168,Data Science,33,2039,8.950.133.345.274.150,Udemy,12.116.062.649.570.700,413.688.490.452.653,"0,00%"
3169,Course_3169,Office Tools,22,113,5.110.315.694.544.820,Coursera,15.012.917.459.927.500,35.208.841.768.074.500,"0,00%"
3170,Course_3170,Data Science,31,4515,6.929.582.639.720.690,Coursera,8.421.320.795.751.310,4.526.090.470.888.710,"0,00%"
3171,Course_3171,Business,98,2233,8.943.382.520.894.390,Udemy,1.648.861.222.689.310,36.982.783.716.026.500,"0,00%"
3172,Course_3172,Finance,49,4394,6.473.036.850.843.280,edX,60.186.637.918.472.800,3.391.449.162.282.380,"0,00%"
3173,Course_3173,Data Science,34,3230,7.202.147.109.631.090,edX,167.560.015.352.925,31.858.885.706.657.900,"0,00%"
3174,Course_3174,Marketing,19,1701,7.552.896.058.825.980,Coursera,11.777.456.588.791.900,44.339.294.550.072.000,"0,00%"
3175,Course_3175,Programming,24,1223,7.747.404.243.050.550,LinkedIn Learning,4.891.818.935.617.180,3.822.382.607.252.490,"0,00%"
3176,Course_3176,Programming,54,1281,8.214.795.040.314.850,LinkedIn Learning,17.703.485.605.906.500,37.714.156.308.642.100,"0,00%"
3177,Course_3177,Marketing,27,2299,8.129.602.318.845.380,Coursera,17.447.396.649.236.500,39.307.097.060.181.600,"0,00%"
3178,Course_3178,Marketing,72,4368,5.933.074.345.304.920,LinkedIn Learning,185.341.713.307.661,458.554.483.913.655,"0,00%"
3179,Course_3179,Design,51,139,8.813.095.158.459.620,Coursera,18.988.249.317.722.000,4.349.641.415.557.130,"0,00%"
3180,Course_3180,Marketing,99,314,842.099.658.500.363,Udemy,5.755.471.132.496.810,4.052.822.056.390.440,"0,00%"
3181,Course_3181,Business,34,3593,9.859.942.195.007.050,Udemy,11.449.926.660.879.400,30.962.690.300.723.700,"0,00%"
3182,Course_3182,Data Science,97,1521,9.950.532.632.830.100,edX,1.899.964.766.737.660,3.553.439.003.530.870,"0,00%"
3183,Course_3183,AI,45,1623,8.314.876.965.071.070,LinkedIn Learning,7.959.209.338.676.560,34.860.925.453.587.400,"0,00%"
3184,Course_3184,Office Tools,42,1078,8.179.828.558.763.790,edX,1.720.379.091.587.140,34.816.451.081.659.000,"0,00%"
3185,Course_3185,Business,20,333,58.176.976.993.460.600,LinkedIn Learning,8.318.636.924.423.760,3.153.442.727.885.920,"0,00%"
3186,Course_3186,Design,51,213,7.865.062.171.487.450,Udemy,16.671.289.687.910.000,3.060.045.304.783.880,"0,00%"
3187,Course_3187,Data Science,52,4243,7.283.492.946.733.080,LinkedIn Learning,9.383.395.663.484.440,4.477.275.906.059.650,"0,00%"
3188,Course_3188,Design,28,784,9.574.990.464.135.500,LinkedIn Learning,3.560.876.194.815.610,41.970.412.185.354.000,"0,00%"
3189,Course_3189,Marketing,53,2171,6.828.325.838.413.500,Udemy,19.470.179.648.076.200,4.459.423.753.218.030,"0,00%"
3190,Course_3190,Technology,48,4559,6.182.591.933.547.250,Coursera,9.984.269.351.169.170,49.186.513.411.738.100,"0,00%"
3191,Course_3191,AI,83,1058,5.741.394.035.354.960,LinkedIn Learning,2.058.698.901.223.050,4.226.411.319.981.740,"0,00%"
3192,Course_3192,Finance,29,2180,978.153.587.291.921,Udemy,7.466.051.972.464.130,49.739.668.575.487.900,"0,00%"
3193,Course_3193,Business,45,882,5.942.439.654.820.880,edX,8.585.068.710.972.690,35.876.075.329.609.700,"0,00%"
3194,Course_3194,Data Science,11,1891,5.834.597.020.610.000,LinkedIn Learning,1.472.238.041.864.210,37.598.178.027.338.000,"0,00%"
3195,Course_3195,Marketing,39,2665,968.430.196.562.889,Udemy,30.529.308.981.796.100,4.793.383.366.234.270,"0,00%"
3196,Course_3196,Business,79,1896,9.823.195.015.696.880,edX,11.498.189.470.607.700,3.484.082.106.304.760,"0,00%"
3197,Course_3197,AI,74,2902,6.892.158.259.700.930,LinkedIn Learning,11.975.274.131.884.800,35.735.974.289.617.800,"0,00%"
3198,Course_3198,Finance,22,214,7.741.617.266.756.440,Coursera,3.434.817.382.228.020,35.847.106.453.330.800,"0,00%"
3199,Course_3199,Data Science,95,3266,9.533.145.154.122.510,LinkedIn Learning,8.673.898.306.612.030,3.987.000.920.910.810,"0,00%"
3200,Course_3200,Marketing,10,1345,8.599.406.859.590.800,edX,13.625.279.570.384.400,31.476.953.804.587.700,"0,00%"
